i,r_squared_train,adj_r_squared_train,rmse_train,mae_train,r_squared_test,adj_r_squared_test,rmse_test,mae_test
1,0.7943440226372547,0.6709504362196075,244.33976148126186,186.3354081932199,0.8359530225961318,1.3280939548077364,929.3758888058429,841.1742630392956
2,0.8660783675062783,0.7857253880100453,298.49218244376215,238.98411682260195,0.6627147724665234,1.6745704550669531,445.1028216036946,341.6835652228262
3,0.8597160902229031,0.7808063909732861,317.61863697161374,244.01915712491126,0.3243381086499659,1.8445773641875425,408.915593220278,367.83792007456265
4,0.8711306735958013,0.7986416774934395,308.975145537891,256.3143975640997,0.7236766391523989,1.3454042010595013,1249.4731492026447,642.6235907293247
5,0.8225749944374412,0.7227734288085019,346.02501835681096,258.633135771183,0.7957025475595477,1.2553718155505653,299.0495429756469,267.2882275521699
