Wetlands name,State,ID,Species,Species normalized,Area,lat,lon,Groundwater recharge,Groundwater depth,Evaporation,Discharge,Salinity,BOD,bod,TP,ec,NOXN
Hutt Lagoon System,WA,290,67,2.233333333,30,-28.03333333,114.1666667,4.42E-05,39.91895,0.310819,0.839403,1.00E+31,1.00E+31,1.506924054,0.120937237,388.7330837,0.54469849
Lake Logue—Indoon System,WA,291,42,7.939508507,5.29,-29.86666667,115.1333333,9.33E-05,67.6272,0.415794,0.925788,1.00E+31,1.00E+31,1.639107213,0.140036602,486.7584618,0.548977654
Murchison River (Lower Reaches),WA,292,137,21.92,6.25,-27.71666667,114.1666667,1.80E-05,48.26445,0.2886955,5.8577555,1.00E+31,1.00E+31,1.16936098,0.130577109,443.9012359,0.38591308
Lake Gruszka,WA,293,2,0.4,5,-25.33333333,125.5666667,1.85E-06,4.10323,0.25774,0.148852,1.00E+31,1.00E+31,1.286893104,0.217487799,526.3162222,0.378701183
Dragon Tree Soak,WA,294,2,40,0.05,-19.66666667,123.35,3.85E-06,17.0774,0.626105,0.00312875,1.00E+31,1.00E+31,1.140964637,0.135157654,189.2475658,0.246623545
Lake Dora (Rudall River) System,WA,295,8,0.024539877,326,-21.95,122.8,1.31E-06,13.2527,0.455803,0.00068421,1.00E+31,1.00E+31,1.336184072,0.217067213,465.8532491,0.333447485
Mandora Salt Marsh,WA,296,3,0.00375,800,-19.66666667,121.1166667,4.75E-05,4.864885,0.527184,0.8273329,1.00E+31,1.00E+31,1.194456717,0.165290434,340.2701883,0.300769809
Yeo Lake/Lake Throssell,WA,297,66,0.092957746,710,-27.35,123.8833333,2.48E-05,62.58785,0.2482175,0.1064098,1.00E+31,1.00E+31,1.318701053,0.215106317,684.3636037,0.40082339
Byenup Lagoon System,WA,298,516,10.32,50,-34.31666667,116.6666667,0.001040849,17.43515,0.445664,9.9918,35.2487,0.955977,1.159995242,0.078593126,228.1981257,0.401940819
Chittering—Needonga Lakes,WA,299,5,2.016129032,2.48,-31.43333333,116.1,0.000369199,80.137,0.401449,3.38679,1.00E+31,1.00E+31,1.69533876,0.15172742,450.6724167,0.554172636
Lake Muir,WA,300,179,3.891304348,46,-34.48333333,116.6666667,0.000239905,7.0922,0.557189,0.267666,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lake Pleasant View System,WA,301,98,17.81818182,5.5,-34.78333333,118.15,0.000333993,32.99225,0.508372,0.5975285,1.00E+31,1.00E+31,1.090874053,0.085795985,219.8141427,0.43184301
Moates Lake System,WA,302,105,14,7.5,-34.93333333,118.0833333,0.000607142,29.14471,0.347463,0.658249,1.00E+31,1.00E+31,1.150100417,0.078173037,167.9931883,0.50347411
Lake Disappointment (Savory Creek) System,WA,303,35,0.022697795,1542,-23.447842,122.794552,5.36E-05,2.80836,0.331805,0.152734,1.00E+31,1.00E+31,1.322673002,0.219780896,506.3688502,0.360221014
Lake Cronin,WA,304,65,500,0.13,-119.7666667,32.38333333,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lake Grace System,WA,305,212,1.606060606,132,-33.06666667,118.3166667,2.50E-06,32.926,0.3244265,0.070793005,1.00E+31,1.00E+31,1.952051778,0.236938246,604.2204291,0.717707366
Anneen Lake (Lake Nannine),WA,306,143,1.191666667,120,-26.8,118.1666667,3.09E-07,8.504175,0.2564875,0.0857205,1.00E+31,1.00E+31,1.385608619,0.315001554,858.9571096,0.48267644
Breberle Lake,WA,307,4,0.533333333,7.5,-26.33333333,115.9666667,5.82E-06,63.1809,0.21387,0.0273194,1.00E+31,1.00E+31,1.315945076,0.202304722,719.6830304,0.378820665
Lake Ballard,WA,308,44,0.073333333,600,-29.28333333,120.5666667,3.83E-10,54.658,0.267636,4.88E-05,1.00E+31,1.00E+31,1.346214175,0.308750361,739.4418704,0.490298648
Lake Barlee,WA,309,131,0.067393765,1943.8,-28.85,118.95,4.66E-05,56.759,0.281628,0.060514475,1.00E+31,1.00E+31,1.316294009,0.26096051,699.8086281,0.448496409
Lake Marmion,WA,310,14,0.039660057,353,-29.56666667,121.3166667,1.81E-05,27.68645,0.280502,0.11317115,1.00E+31,1.00E+31,1.351727089,0.283328363,752.970821,0.4523349
Wooleen Lake,WA,311,6,0.272727273,22,-27.06666667,116.1833333,1.90E-07,5.07292,0.207335,0.0694443,1.00E+31,1.00E+31,1.345234731,0.212641157,798.6581158,0.396135582
Drysdale River,WA,312,142,2.784313725,51,-14.53333333,126.7,0.000352227,48.01795,0.99113,1.2171785,1.00E+31,1.00E+31,0.944843237,0.13544301,134.2853161,0.23988723
Mitchell River System,WA,313,13,0.314009662,41.4,-14.48333333,125.4333333,0.00100104,42.33677,0.824851,3.68401,103.411,6.17E-05,0.729807196,0.109814775,70.70685774,0.231558997
Prince Regent River System,WA,314,39,0.272727273,143,-15.23333333,124.95,0.000686259,21.770075,1.0125925,0.669302,1.00E+31,1.00E+31,0.816309653,0.125270306,108.1411651,0.229689533
De Grey River,WA,315,25,0.183823529,136,-19.96666667,119.1666667,8.17E-08,3.130705,0.418673,0.59845311,1.00E+31,1.00E+31,1.362769202,0.227897366,549.5699022,0.368362646
Fortescue Marshes,WA,316,253,0.253,1000,-22.08333333,118.1,0.000121756,69.2758,0.438071,14.398555,155.672,0.0463499,1.400762396,0.228282412,616.2155063,0.392654043
Karijini (Hamersley Range) Gorges,WA,317,2,2.5,0.8,-22.21666667,118,3.77E-05,34.38631,0.395491,2.09911593,1.00E+31,1.00E+31,1.416600995,0.214782934,656.906618,0.41842315
Millstream Pools,WA,318,13,8.666666667,1.5,-21.58333333,117.0833333,4.40E-05,26.9699,0.413819,34.2939,1.00E+31,1.00E+31,1.379438526,0.218434365,567.3813461,0.397873036
Benger Swamp,WA,319,34,5.944055944,5.72,-33.16666667,115.8333333,0.000245962,7.54927,0.772115,0.327246,1.00E+31,1.00E+31,1.061178583,0.08515819,147.8596094,0.445696189
Booragoon Lake,WA,320,9,69.23076923,0.13,-32.05,115.8333333,0.000429395,21.5158,0.292435,1.77694,637.522,5.37054,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Brixton Street Swamps,WA,321,444,1480,0.3,-32.03333333,115.9666667,0.000586187,6.21977,0.352713,4.03084,1.00E+31,25.5451,0.986088037,0.064708542,130.4916345,0.368650807
